,precision,recall,f1-score,support
absence,0.9080980287693128,0.833904109589041,0.8694210660545778,4088.0
cooking,0.9545014520813165,0.9180633147113594,0.9359278595158994,1074.0
dishwashing,0.5244755244755245,0.6147540983606558,0.5660377358490566,244.0
eating,0.5811965811965812,0.7749287749287749,0.6642246642246643,351.0
other,0.31058823529411766,0.6666666666666666,0.42375601926163725,198.0
social_activity,0.8993775933609959,0.9292604501607717,0.9140748550342646,933.0
vacuum_cleaner,0.9850746268656716,1.0,0.9924812030075187,198.0
watching_tv,0.9975812953507122,0.9978494623655914,0.997715360838597,3720.0
working,0.835781041388518,0.8256396729095226,0.8306794055201698,3791.0
accuracy,0.8807289169007331,0.8807289169007331,0.8807289169007331,0.8807289169007331
macro avg,0.7774082643091945,0.8401185055213759,0.7993686854784872,14597.0
weighted avg,0.8936439143000808,0.8807289169007331,0.8854209414430378,14597.0
