,precision,recall,f1-score,support
absence,0.9619072988811934,0.9139458364970894,0.937313432835821,3951.0
cooking,0.9583736689254598,0.9611650485436893,0.9597673291323315,1030.0
dishwashing,0.6818181818181818,0.7195571955719557,0.7001795332136445,271.0
eating,0.7414529914529915,0.8920308483290489,0.8098016336056009,389.0
other,0.4541176470588235,0.6942446043165468,0.5490753911806543,278.0
social_activity,0.9304979253112033,0.968682505399568,0.9492063492063492,926.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9981187852727761,0.9991928974979822,0.9986555525678945,3717.0
working,0.9228304405874499,0.9014084507042254,0.9119936667106479,3834.0
accuracy,0.9319723230800849,0.9319723230800849,0.9319723230800849,0.9319723230800849
macro avg,0.8499018821453421,0.8944697096511229,0.8684436542725492,14597.0
weighted avg,0.9384013000351085,0.9319723230800849,0.9342907211270052,14597.0
