,precision,recall,f1-score,support
air_conditioner,0.8620689655172413,0.8536585365853658,0.8578431372549018,205.0
car_horn,0.5698924731182796,0.828125,0.6751592356687899,64.0
children_playing,0.6889952153110048,0.6545454545454545,0.6713286713286714,220.0
dog_bark,0.7010869565217391,0.7087912087912088,0.7049180327868853,182.0
drilling,0.7777777777777778,0.7777777777777778,0.7777777777777778,180.0
engine_idling,0.8944723618090452,0.8054298642533937,0.8476190476190476,221.0
gun_shot,0.6470588235294118,0.8461538461538461,0.7333333333333334,52.0
jackhammer,0.9402985074626866,0.8146551724137931,0.8729792147806006,232.0
siren,0.7777777777777778,0.8369565217391305,0.806282722513089,184.0
street_music,0.6273584905660378,0.642512077294686,0.6348448687350835,207.0
accuracy,0.7664567830566685,0.7664567830566685,0.7664567830566685,0.7664567830566685
macro avg,0.7486787349391002,0.7768605459554656,0.758208604179818,1747.0
weighted avg,0.7755140542867398,0.7664567830566685,0.7686391833637042,1747.0
