,precision,recall,f1-score,support
air_conditioner,0.9655172413793104,0.9560975609756097,0.9607843137254901,205.0
car_horn,0.7311827956989247,0.9577464788732394,0.8292682926829269,71.0
children_playing,0.8660287081339713,0.8497652582159625,0.8578199052132701,213.0
dog_bark,0.8804347826086957,0.8350515463917526,0.8571428571428571,194.0
drilling,0.9277777777777778,0.8882978723404256,0.907608695652174,188.0
engine_idling,0.9748743718592965,0.9748743718592965,0.9748743718592965,199.0
gun_shot,0.7205882352941176,0.9245283018867925,0.8099173553719008,53.0
jackhammer,0.9701492537313433,0.9285714285714286,0.948905109489051,210.0
siren,0.9191919191919192,0.9629629629629629,0.9405684754521964,189.0
street_music,0.8867924528301887,0.8355555555555556,0.8604118993135013,225.0
accuracy,0.9055523755008587,0.9055523755008587,0.9055523755008587,0.9055523755008587
macro avg,0.8842537538505546,0.9113451337633027,0.8947301275902664,1747.0
weighted avg,0.9093954162715872,0.9055523755008587,0.906139916431813,1747.0
