,precision,recall,f1-score,support
absence,0.9512519978689398,0.8810757463607205,0.9148200333034455,4053.0
cooking,0.9641819941916747,0.9334582942830365,0.9485714285714285,1067.0
dishwashing,0.6713286713286714,0.7470817120622568,0.7071823204419889,257.0
eating,0.6901709401709402,0.8922651933701657,0.7783132530120482,362.0
other,0.4423529411764706,0.6666666666666666,0.5318246110325319,282.0
social_activity,0.8921161825726142,0.9772727272727273,0.9327548806941431,880.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9951625907014243,0.999190501888829,0.9971724787935909,3706.0
working,0.9036048064085447,0.8931116389548693,0.8983275816299442,3789.0
accuracy,0.9192299787627595,0.9192299787627595,0.9192299787627595,0.9192299787627595
macro avg,0.8344633471576979,0.8877913867621414,0.8565518430532357,14597.0
weighted avg,0.9268491352151674,0.9192299787627595,0.9217284244526587,14597.0
