,precision,recall,f1-score,support
absence,0.9536494405966969,0.9031281533804238,0.9277014770665976,3964.0
cooking,0.9651500484027106,0.9568138195777351,0.9609638554216868,1042.0
dishwashing,0.6713286713286714,0.7868852459016393,0.7245283018867925,244.0
eating,0.7393162393162394,0.9129287598944591,0.8170011806375443,379.0
other,0.508235294117647,0.6585365853658537,0.5737051792828685,328.0
social_activity,0.9263485477178424,0.9706521739130435,0.9479830148619958,920.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9965063155065843,0.9997303855486654,0.9981157469717362,3709.0
working,0.9172229639519359,0.9015748031496063,0.9093315684976836,3810.0
accuracy,0.9295060628896349,0.9295060628896349,0.9295060628896349,0.9295060628896349
macro avg,0.8530841689931475,0.898916658525714,0.8732589249585451,14597.0
weighted avg,0.9344770186139467,0.9295060628896349,0.9312218674752044,14597.0
