,precision,recall,f1-score,support
air_conditioner,0.9556650246305419,0.8185654008438819,0.8818181818181817,237.0
car_horn,0.6666666666666666,0.8051948051948052,0.7294117647058824,77.0
children_playing,0.8803827751196173,0.7634854771784232,0.8177777777777778,241.0
dog_bark,0.6739130434782609,0.8794326241134752,0.763076923076923,141.0
drilling,0.8777777777777778,0.9349112426035503,0.9054441260744986,169.0
engine_idling,0.9195979899497487,0.9104477611940298,0.9149999999999999,201.0
gun_shot,0.7941176470588235,0.6352941176470588,0.7058823529411765,85.0
jackhammer,0.9800995024875622,0.9205607476635514,0.9493975903614458,214.0
siren,0.9090909090909091,0.9183673469387755,0.9137055837563451,196.0
street_music,0.7452830188679245,0.8494623655913979,0.7939698492462313,186.0
accuracy,0.8551803091013166,0.8551803091013166,0.8551803091013166,0.8551803091013166
macro avg,0.8402594355127831,0.8435721888968949,0.8375484149758462,1747.0
weighted avg,0.865626402835128,0.8551803091013166,0.8567285252384286,1747.0
