,precision,recall,f1-score,support
absence,0.6334576451784762,0.5815602836879432,0.6064006120107102,4089.0
cooking,0.782187802516941,0.7615457115928369,0.7717287488061126,1061.0
dishwashing,0.35664335664335667,0.25061425061425063,0.29437229437229445,407.0
eating,0.25,0.23684210526315788,0.24324324324324326,494.0
other,0.26588235294117646,0.2684085510688836,0.26713947990543735,421.0
social_activity,0.7676348547717843,0.8096280087527352,0.7880724174653886,914.0
vacuum_cleaner,1.0,0.9901477832512315,0.995049504950495,203.0
watching_tv,0.9782316581564096,0.9967141292442497,0.9873864098738641,3652.0
working,0.510547396528705,0.5697258641239571,0.5385157020138008,3356.0
accuracy,0.6858258546276632,0.6858258546276632,0.6858258546276632,0.6858258546276632
macro avg,0.6160650074152055,0.6072429652888052,0.6102120458490385,14597.0
weighted avg,0.6844705913507088,0.6858258546276632,0.6841337820026675,14597.0
