,precision,recall,f1-score,support
air_conditioner,0.45320197044334976,0.3665338645418327,0.4052863436123348,251.0
car_horn,0.27956989247311825,0.43333333333333335,0.3398692810457516,60.0
children_playing,0.3875598086124402,0.375,0.38117647058823534,216.0
dog_bark,0.2717391304347826,0.49504950495049505,0.3508771929824561,101.0
drilling,0.5166666666666667,0.3765182186234818,0.4355971896955504,247.0
engine_idling,0.4371859296482412,0.54375,0.4846796657381615,160.0
gun_shot,0.5147058823529411,0.2,0.2880658436213992,175.0
jackhammer,0.5920398009950248,0.4594594594594595,0.5173913043478261,259.0
siren,0.5353535353535354,0.7737226277372263,0.6328358208955225,137.0
street_music,0.25,0.375886524822695,0.30028328611898014,141.0
accuracy,0.42472810532341154,0.42472810532341154,0.42472810532341154,0.42472810532341154
macro avg,0.42380226169801,0.43992535334685234,0.4136062398646218,1747.0
weighted avg,0.45292395339849095,0.42472810532341154,0.4227174109249739,1747.0
