,precision,recall,f1-score,support
absence,0.9517847629195525,0.8844059405940594,0.9168591224018475,4040.0
cooking,0.9612778315585673,0.9315196998123827,0.9461648404001906,1066.0
dishwashing,0.6398601398601399,0.7261904761904762,0.6802973977695167,252.0
eating,0.6538461538461539,0.85,0.7391304347826088,360.0
other,0.3623529411764706,0.77,0.4928,200.0
social_activity,0.9118257261410788,0.9431330472103004,0.9272151898734178,932.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9967750604676162,0.9981162540365985,0.9974452064004303,3716.0
working,0.8974632843791722,0.8775456919060052,0.8873927392739274,3830.0
accuracy,0.9151880523395218,0.9151880523395218,0.9151880523395218,0.9151880523395218
macro avg,0.8194651000387502,0.8867679010833136,0.8430338812113267,14597.0
weighted avg,0.9269818901236191,0.9151880523395218,0.9193114756795842,14597.0
