,precision,recall,f1-score,support
absence,0.95924347362813,0.8876016761153561,0.9220330303418256,4057.0
cooking,0.9593417231364957,0.9393364928909953,0.9492337164750958,1055.0
dishwashing,0.6433566433566433,0.7698744769874477,0.700952380952381,239.0
eating,0.6752136752136753,0.88268156424581,0.7651331719128328,358.0
other,0.4023529411764706,0.7737556561085973,0.5294117647058825,221.0
social_activity,0.921161825726141,0.9487179487179487,0.9347368421052631,936.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9970438054286482,0.9986541049798116,0.9978483055406132,3715.0
working,0.902803738317757,0.8862385321100917,0.8944444444444444,3815.0
accuracy,0.9209426594505721,0.9209426594505721,0.9209426594505721,0.9209426594505721
macro avg,0.8289464251093289,0.898540050239562,0.8548659618309264,14597.0
weighted avg,0.9316699658584913,0.9209426594505721,0.9245598797300737,14597.0
