,precision,recall,f1-score,support
air_conditioner,0.9458128078817734,0.9365853658536586,0.9411764705882352,205.0
car_horn,0.6344086021505376,0.9365079365079365,0.7564102564102564,63.0
children_playing,0.8516746411483254,0.7841409691629956,0.8165137614678898,227.0
dog_bark,0.8043478260869565,0.8131868131868132,0.8087431693989071,182.0
drilling,0.9,0.8901098901098901,0.8950276243093923,182.0
engine_idling,0.9597989949748744,0.9362745098039216,0.9478908188585609,204.0
gun_shot,0.7058823529411765,0.9056603773584906,0.7933884297520662,53.0
jackhammer,0.9800995024875622,0.9078341013824884,0.9425837320574162,217.0
siren,0.9191919191919192,0.9430051813471503,0.9309462915601022,193.0
street_music,0.839622641509434,0.8054298642533937,0.8221709006928407,221.0
accuracy,0.8786491127647396,0.8786491127647396,0.8786491127647396,0.8786491127647396
macro avg,0.8540839288372559,0.8858735008966739,0.8654851455095667,1747.0
weighted avg,0.885079456976489,0.8786491127647396,0.8800013268100965,1747.0
