,precision,recall,f1-score,support
air_conditioner,0.9655172413793104,0.9560975609756097,0.9607843137254901,205.0
car_horn,0.7204301075268817,1.0,0.8375,67.0
children_playing,0.8803827751196173,0.8288288288288288,0.8538283062645011,222.0
dog_bark,0.8586956521739131,0.8586956521739131,0.8586956521739132,184.0
drilling,0.9277777777777778,0.9175824175824175,0.9226519337016573,182.0
engine_idling,0.964824120603015,0.96,0.9624060150375939,200.0
gun_shot,0.7205882352941176,0.9423076923076923,0.8166666666666668,52.0
jackhammer,0.9800995024875622,0.9563106796116505,0.9680589680589681,206.0
siren,0.9393939393939394,0.9489795918367347,0.9441624365482234,196.0
street_music,0.9056603773584906,0.8240343347639485,0.8629213483146067,233.0
accuracy,0.9089868345735547,0.9089868345735547,0.9089868345735547,0.9089868345735547
macro avg,0.8863369729114625,0.9192836758080796,0.8987675640491621,1747.0
weighted avg,0.9135525891432431,0.9089868345735547,0.9095766165158755,1747.0
