,precision,recall,f1-score,support
absence,0.9496537027171018,0.8296485920409588,0.8856042727611476,4297.0
cooking,0.957405614714424,0.9546332046332047,0.9560173997100048,1036.0
dishwashing,0.6888111888111889,0.7086330935251799,0.6985815602836881,278.0
eating,0.6431623931623932,0.8852941176470588,0.745049504950495,340.0
other,0.3388235294117647,0.7128712871287128,0.4593301435406698,202.0
social_activity,0.9118257261410788,0.9680616740088106,0.9391025641025641,908.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9981187852727761,0.9997308209959623,0.9989241527703067,3715.0
working,0.8373831775700935,0.8662983425414365,0.8515953835709438,3620.0
accuracy,0.8992258683291087,0.8992258683291087,0.8992258683291087,0.8992258683291087
macro avg,0.8139093464223134,0.8805745702801473,0.8371338868544245,14597.0
weighted avg,0.9124763584266377,0.8992258683291087,0.9031764352171747,14597.0
