,precision,recall,f1-score,support
absence,0.9589770911028237,0.8884501480750246,0.9223674096848578,4052.0
cooking,0.968054211035818,0.983284169124877,0.975609756097561,1017.0
dishwashing,0.7902097902097902,0.7874564459930313,0.7888307155322862,287.0
eating,0.8034188034188035,0.8931116389548693,0.8458942632170978,421.0
other,0.4588235294117647,0.7831325301204819,0.5786350148367952,249.0
social_activity,0.950207468879668,0.9796791443850268,0.9647182727751448,935.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9986562751948401,0.9994620763851533,0.9990590133082404,3718.0
working,0.9001335113484646,0.9069141781006188,0.9035111230233183,3717.0
accuracy,0.9317668013975474,0.9317668013975474,0.9317668013975474,0.9317668013975474
macro avg,0.8698311867335524,0.9134989256821204,0.8865139520528114,14597.0
weighted avg,0.938398792004129,0.9317668013975474,0.9338965352924069,14597.0
