,precision,recall,f1-score,support
air_conditioner,0.896551724137931,0.8235294117647058,0.8584905660377358,221.0
car_horn,0.6559139784946236,0.8970588235294118,0.7577639751552795,68.0
children_playing,0.6985645933014354,0.7448979591836735,0.7209876543209877,196.0
dog_bark,0.7445652173913043,0.7740112994350282,0.7590027700831025,177.0
drilling,0.9111111111111111,0.8324873096446701,0.870026525198939,197.0
engine_idling,0.8944723618090452,0.8811881188118812,0.8877805486284289,202.0
gun_shot,0.7205882352941176,0.8166666666666667,0.7656250000000001,60.0
jackhammer,0.9800995024875622,0.9162790697674419,0.9471153846153845,215.0
siren,0.8484848484848485,0.9081081081081082,0.877284595300261,185.0
street_music,0.7830188679245284,0.7345132743362832,0.7579908675799087,226.0
accuracy,0.8288494562106469,0.8288494562106469,0.8288494562106469,0.8288494562106469
macro avg,0.8133370440436508,0.8328740041247871,0.8202067886920027,1747.0
weighted avg,0.8354365996479042,0.8288494562106469,0.8304574849110306,1747.0
