,precision,recall,f1-score,support
air_conditioner,0.9014778325123153,1.0,0.9481865284974093,183.0
car_horn,0.34408602150537637,1.0,0.512,32.0
children_playing,0.7942583732057417,0.9540229885057471,0.8668407310704961,174.0
dog_bark,0.9782608695652174,0.37267080745341613,0.5397301349325337,483.0
drilling,0.7722222222222223,0.9788732394366197,0.8633540372670807,142.0
engine_idling,0.9396984924623115,1.0,0.9689119170984456,187.0
gun_shot,0.6911764705882353,0.9791666666666666,0.8103448275862069,48.0
jackhammer,0.9104477611940298,0.9891891891891892,0.9481865284974094,185.0
siren,0.6666666666666666,1.0,0.8,132.0
street_music,0.7924528301886793,0.9281767955801105,0.8549618320610686,181.0
accuracy,0.8111047510017172,0.8111047510017172,0.8111047510017172,0.8111047510017172
macro avg,0.7790747540110796,0.920209968683175,0.811251653701065,1747.0
weighted avg,0.8615366887779132,0.8111047510017172,0.789847756143247,1747.0
