,precision,recall,f1-score,support
air_conditioner,0.9802955665024631,0.9754901960784313,0.9778869778869779,204.0
car_horn,0.8172043010752689,0.95,0.8786127167630059,80.0
children_playing,0.9186602870813397,0.897196261682243,0.9078014184397164,214.0
dog_bark,0.8967391304347826,0.8776595744680851,0.8870967741935484,188.0
drilling,0.9722222222222222,0.9459459459459459,0.9589041095890412,185.0
engine_idling,0.9849246231155779,0.9949238578680203,0.9898989898989898,197.0
gun_shot,0.8823529411764706,0.8823529411764706,0.8823529411764706,68.0
jackhammer,0.9850746268656716,0.9753694581280788,0.9801980198019801,203.0
siren,0.9646464646464646,0.9646464646464646,0.9646464646464646,198.0
street_music,0.9150943396226415,0.9238095238095239,0.9194312796208531,210.0
accuracy,0.9421866056096165,0.9421866056096165,0.9421866056096165,0.9421866056096165
macro avg,0.9317214502742903,0.9387394223803265,0.9346829692017049,1747.0
weighted avg,0.9430842129645312,0.9421866056096165,0.9423524819397396,1747.0
