,precision,recall,f1-score,support
absence,0.9523175279701651,0.9002770083102493,0.9255663430420712,3971.0
cooking,0.9593417231364957,0.951969260326609,0.9556412729026037,1041.0
dishwashing,0.6713286713286714,0.7164179104477612,0.6931407942238267,268.0
eating,0.7478632478632479,0.8706467661691543,0.8045977011494253,402.0
other,0.41411764705882353,0.6901960784313725,0.5176470588235295,255.0
social_activity,0.9273858921161826,0.9592274678111588,0.9430379746835443,932.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9983875302338081,0.9983875302338081,0.9983875302338081,3721.0
working,0.9060080106809079,0.8914871255911718,0.8986889153754469,3806.0
accuracy,0.9239569774611222,0.9239569774611222,0.9239569774611222,0.9239569774611222
macro avg,0.8418611389320335,0.8865121274801429,0.8596341767149173,14597.0
weighted avg,0.9313608883342841,0.9239569774611222,0.9266820529115397,14597.0
