,precision,recall,f1-score,support
absence,0.9507192328183272,0.89225,0.9205571318029404,4000.0
cooking,0.957405614714424,0.9555555555555556,0.9564796905222437,1035.0
dishwashing,0.7027972027972028,0.7701149425287356,0.7349177330895795,261.0
eating,0.7371794871794872,0.8625,0.7949308755760368,400.0
other,0.4258823529411765,0.7327935222672065,0.5386904761904763,247.0
social_activity,0.9346473029045643,0.9554612937433722,0.9449396958573676,943.0
vacuum_cleaner,1.0,1.0,1.0,201.0
watching_tv,0.9983875302338081,0.9986559139784946,0.9985217040720333,3720.0
working,0.8998664886515354,0.8891820580474934,0.8944923689449236,3790.0
accuracy,0.9229293690484346,0.9229293690484346,0.9229293690484346,0.9229293690484346
macro avg,0.845209468026725,0.8951681429023175,0.8648366306728446,14597.0
weighted avg,0.9306127669780887,0.9229293690484346,0.9256513245002979,14597.0
