,precision,recall,f1-score,support
air_conditioner,0.9310344827586207,0.945,0.9379652605459057,200.0
car_horn,0.6881720430107527,0.9142857142857143,0.7852760736196318,70.0
children_playing,0.8564593301435407,0.8026905829596412,0.8287037037037037,223.0
dog_bark,0.8315217391304348,0.8181818181818182,0.8247978436657682,187.0
drilling,0.9333333333333333,0.875,0.9032258064516129,192.0
engine_idling,0.949748743718593,0.949748743718593,0.949748743718593,199.0
gun_shot,0.7352941176470589,0.8771929824561403,0.8,57.0
jackhammer,0.9751243781094527,0.9289099526066351,0.9514563106796117,211.0
siren,0.8787878787878788,0.90625,0.8923076923076922,192.0
street_music,0.8349056603773585,0.8194444444444444,0.8271028037383178,216.0
accuracy,0.8809387521465369,0.8809387521465369,0.8809387521465369,0.8809387521465369
macro avg,0.8614381707017025,0.8836704238652986,0.8700584238430839,1747.0
weighted avg,0.8848276126260086,0.8809387521465369,0.8817140348463888,1747.0
