,precision,recall,f1-score,support
air_conditioner,0.9458128078817734,0.9320388349514563,0.9388753056234719,206.0
car_horn,0.7096774193548387,0.9166666666666666,0.7999999999999999,72.0
children_playing,0.8373205741626795,0.7847533632286996,0.8101851851851852,223.0
dog_bark,0.8206521739130435,0.8162162162162162,0.8184281842818427,185.0
drilling,0.8944444444444445,0.8846153846153846,0.8895027624309393,182.0
engine_idling,0.9597989949748744,0.9597989949748744,0.9597989949748744,199.0
gun_shot,0.7647058823529411,0.896551724137931,0.8253968253968255,58.0
jackhammer,0.9701492537313433,0.8986175115207373,0.9330143540669856,217.0
siren,0.8737373737373737,0.9105263157894737,0.8917525773195877,190.0
street_music,0.8443396226415094,0.8325581395348837,0.8384074941451991,215.0
accuracy,0.8786491127647396,0.8786491127647396,0.8786491127647396,0.8786491127647396
macro avg,0.8620638547194822,0.8832343151636323,0.8705361683424911,1747.0
weighted avg,0.8819030857655814,0.8786491127647396,0.8792249901240954,1747.0
