,precision,recall,f1-score,support,,,,
absence,0.9080980288,0.8339041096,0.8694210661,4088,,86.9421066055,90.8098028769,83.3904109589
cooking,0.9545014521,0.9180633147,0.9359278595,1074,,93.5927859516,95.4501452081,91.8063314711
dishwashing,0.5244755245,0.6147540984,0.5660377358,244,,56.6037735849,52.4475524476,61.4754098361
eating,0.5811965812,0.7749287749,0.6642246642,351,,66.4224664225,58.1196581197,77.4928774929
other,0.3105882353,0.6666666667,0.4237560193,198,,42.3756019262,31.0588235294,66.6666666667
social_activity,0.8993775934,0.9292604502,0.914074855,933,,91.4074855034,89.9377593361,92.9260450161
vacuum_cleaner,0.9850746269,1,0.992481203,198,,99.2481203008,98.5074626866,100
watching_tv,0.9975812954,0.9978494624,0.9977153608,3720,,99.7715360839,99.7581295351,99.7849462366
working,0.8357810414,0.8256396729,0.8306794055,3791,,83.067940552,83.5781041389,82.563967291
accuracy,0.8807289169,0.8807289169,0.8807289169,0.8807289169,,,,
macro avg,0.7774082643,0.8401185055,0.7993686855,14597,,,,
weighted avg,0.8936439143,0.8807289169,0.8854209414,14597,,,,
