,precision,recall,f1-score,support,,,,
absence,0.9669685669,0.9141274238,0.9398058252,3971,,93.9805825243,96.6968566862,91.4127423823
cooking,0.9622458858,0.9641125121,0.9631782946,1031,,96.3178294574,96.224588577,96.4112512124
dishwashing,0.6748251748,0.7451737452,0.7082568807,259,,70.8256880734,67.4825174825,74.5173745174
eating,0.7457264957,0.8971722365,0.8144690782,389,,81.446907818,74.5726495726,89.7172236504
other,0.4541176471,0.6748251748,0.5428973277,286,,54.2897327707,45.4117647059,67.4825174825
social_activity,0.9294605809,0.9634408602,0.9461457233,930,,94.6145723337,92.9460580913,96.3440860215
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9978500403,0.998655191,0.9982524533,3718,,99.8252453287,99.7850040312,99.8655190963
working,0.9228304406,0.906610703,0.9146486701,3812,,91.4648670107,92.2830440587,90.6610703043
accuracy,0.9334109749,0.9334109749,0.9334109749,0.9334109749,,,,
macro avg,0.8504472036,0.8960130941,0.8697393615,14597,,,,
weighted avg,0.9399114264,0.9334109749,0.9357813433,14597,,,,
