,precision,recall,f1-score,support,,,,
air_conditioner,0.8620689655,0.8536585366,0.8578431373,205,,85.7843137255,86.2068965517,85.3658536585
car_horn,0.5698924731,0.828125,0.6751592357,64,,67.5159235669,56.9892473118,82.8125
children_playing,0.6889952153,0.6545454545,0.6713286713,220,,67.1328671329,68.8995215311,65.4545454545
dog_bark,0.7010869565,0.7087912088,0.7049180328,182,,70.4918032787,70.1086956522,70.8791208791
drilling,0.7777777778,0.7777777778,0.7777777778,180,,77.7777777778,77.7777777778,77.7777777778
engine_idling,0.8944723618,0.8054298643,0.8476190476,221,,84.7619047619,89.4472361809,80.5429864253
gun_shot,0.6470588235,0.8461538462,0.7333333333,52,,73.3333333333,64.7058823529,84.6153846154
jackhammer,0.9402985075,0.8146551724,0.8729792148,232,,87.2979214781,94.0298507463,81.4655172414
siren,0.7777777778,0.8369565217,0.8062827225,184,,80.6282722513,77.7777777778,83.6956521739
street_music,0.6273584906,0.6425120773,0.6348448687,207,,63.4844868735,62.7358490566,64.2512077295
accuracy,0.7664567831,0.7664567831,0.7664567831,0.7664567831,,,,
macro avg,0.7486787349,0.776860546,0.7582086042,1747,,,,
weighted avg,0.7755140543,0.7664567831,0.7686391834,1747,,,,
