,precision,recall,f1-score,support,,,,
air_conditioner,0.9655172414,0.956097561,0.9607843137,205,,96.0784313725,96.5517241379,95.6097560976
car_horn,0.7311827957,0.9577464789,0.8292682927,71,,82.9268292683,73.1182795699,95.7746478873
children_playing,0.8660287081,0.8497652582,0.8578199052,213,,85.7819905213,86.6028708134,84.9765258216
dog_bark,0.8804347826,0.8350515464,0.8571428571,194,,85.7142857143,88.0434782609,83.5051546392
drilling,0.9277777778,0.8882978723,0.9076086957,188,,90.7608695652,92.7777777778,88.829787234
engine_idling,0.9748743719,0.9748743719,0.9748743719,199,,97.4874371859,97.4874371859,97.4874371859
gun_shot,0.7205882353,0.9245283019,0.8099173554,53,,80.9917355372,72.0588235294,92.4528301887
jackhammer,0.9701492537,0.9285714286,0.9489051095,210,,94.8905109489,97.0149253731,92.8571428571
siren,0.9191919192,0.962962963,0.9405684755,189,,94.0568475452,91.9191919192,96.2962962963
street_music,0.8867924528,0.8355555556,0.8604118993,225,,86.0411899314,88.679245283,83.5555555556
accuracy,0.9055523755,0.9055523755,0.9055523755,0.9055523755,,,,
macro avg,0.8842537539,0.9113451338,0.8947301276,1747,,,,
weighted avg,0.9093954163,0.9055523755,0.9061399164,1747,,,,
