,precision,recall,f1-score,support,,,,
absence,0.9512519979,0.8810757464,0.9148200333,4053,,91.4820033303,95.1251997869,88.1075746361
cooking,0.9641819942,0.9334582943,0.9485714286,1067,,94.8571428571,96.4181994192,93.3458294283
dishwashing,0.6713286713,0.7470817121,0.7071823204,257,,70.7182320442,67.1328671329,74.7081712062
eating,0.6901709402,0.8922651934,0.778313253,362,,77.8313253012,69.0170940171,89.226519337
other,0.4423529412,0.6666666667,0.531824611,282,,53.1824611033,44.2352941176,66.6666666667
social_activity,0.8921161826,0.9772727273,0.9327548807,880,,93.2754880694,89.2116182573,97.7272727273
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9951625907,0.9991905019,0.9971724788,3706,,99.7172478794,99.5162590701,99.9190501889
working,0.9036048064,0.893111639,0.8983275816,3789,,89.832758163,90.3604806409,89.3111638955
accuracy,0.9192299788,0.9192299788,0.9192299788,0.9192299788,,,,
macro avg,0.8344633472,0.8877913868,0.8565518431,14597,,,,
weighted avg,0.9268491352,0.9192299788,0.9217284245,14597,,,,
