,precision,recall,f1-score,support,,,,
absence,0.9536494406,0.9031281534,0.9277014771,3964,,92.7701477067,95.3649440597,90.312815338
cooking,0.9651500484,0.9568138196,0.9609638554,1042,,96.0963855422,96.5150048403,95.6813819578
dishwashing,0.6713286713,0.7868852459,0.7245283019,244,,72.4528301887,67.1328671329,78.6885245902
eating,0.7393162393,0.9129287599,0.8170011806,379,,81.7001180638,73.9316239316,91.2928759894
other,0.5082352941,0.6585365854,0.5737051793,328,,57.3705179283,50.8235294118,65.8536585366
social_activity,0.9263485477,0.9706521739,0.9479830149,920,,94.7983014862,92.6348547718,97.0652173913
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9965063155,0.9997303855,0.998115747,3709,,99.8115746972,99.6506315507,99.9730385549
working,0.917222964,0.9015748031,0.9093315685,3810,,90.9331568498,91.7222963952,90.157480315
accuracy,0.9295060629,0.9295060629,0.9295060629,0.9295060629,,,,
macro avg,0.853084169,0.8989166585,0.873258925,14597,,,,
weighted avg,0.9344770186,0.9295060629,0.9312218675,14597,,,,
