,precision,recall,f1-score,support,,,,
air_conditioner,0.9556650246,0.8185654008,0.8818181818,237,,88.1818181818,95.5665024631,81.8565400844
car_horn,0.6666666667,0.8051948052,0.7294117647,77,,72.9411764706,66.6666666667,80.5194805195
children_playing,0.8803827751,0.7634854772,0.8177777778,241,,81.7777777778,88.038277512,76.3485477178
dog_bark,0.6739130435,0.8794326241,0.7630769231,141,,76.3076923077,67.3913043478,87.9432624113
drilling,0.8777777778,0.9349112426,0.9054441261,169,,90.5444126074,87.7777777778,93.4911242604
engine_idling,0.9195979899,0.9104477612,0.915,201,,91.5,91.959798995,91.0447761194
gun_shot,0.7941176471,0.6352941176,0.7058823529,85,,70.5882352941,79.4117647059,63.5294117647
jackhammer,0.9800995025,0.9205607477,0.9493975904,214,,94.9397590361,98.0099502488,92.0560747664
siren,0.9090909091,0.9183673469,0.9137055838,196,,91.3705583756,90.9090909091,91.8367346939
street_music,0.7452830189,0.8494623656,0.7939698492,186,,79.3969849246,74.5283018868,84.9462365591
accuracy,0.8551803091,0.8551803091,0.8551803091,0.8551803091,,,,
macro avg,0.8402594355,0.8435721889,0.837548415,1747,,,,
weighted avg,0.8656264028,0.8551803091,0.8567285252,1747,,,,
