,precision,recall,f1-score,support
air_conditioner,0.9802955665024631,0.9851485148514851,0.9827160493827161,202.0
car_horn,0.8387096774193549,0.9629629629629629,0.896551724137931,81.0
children_playing,0.9521531100478469,0.8883928571428571,0.9191685912240184,224.0
dog_bark,0.8804347826086957,0.9473684210526315,0.9126760563380281,171.0
drilling,0.9666666666666667,0.9666666666666667,0.9666666666666667,180.0
engine_idling,0.9849246231155779,0.98,0.9824561403508771,200.0
gun_shot,0.9117647058823529,0.8378378378378378,0.8732394366197184,74.0
jackhammer,0.9800995024875622,0.9516908212560387,0.965686274509804,207.0
siren,0.9696969696969697,0.96,0.964824120603015,200.0
street_music,0.9339622641509434,0.9519230769230769,0.942857142857143,208.0
accuracy,0.9484831139095592,0.9484831139095592,0.9484831139095592,0.9484831139095592
macro avg,0.9398707868578434,0.9431991158693556,0.9406842202689919,1747.0
weighted avg,0.9498176803305067,0.9484831139095592,0.948584897960456,1747.0
