,precision,recall,f1-score,support,,,,
air_conditioner,0.4532019704,0.3665338645,0.4052863436,251,,40.5286343612,45.3201970443,36.6533864542
car_horn,0.2795698925,0.4333333333,0.339869281,60,,33.9869281046,27.9569892473,43.3333333333
children_playing,0.3875598086,0.375,0.3811764706,216,,38.1176470588,38.7559808612,37.5
dog_bark,0.2717391304,0.495049505,0.350877193,101,,35.0877192982,27.1739130435,49.504950495
drilling,0.5166666667,0.3765182186,0.4355971897,247,,43.5597189696,51.6666666667,37.6518218623
engine_idling,0.4371859296,0.54375,0.4846796657,160,,48.4679665738,43.7185929648,54.375
gun_shot,0.5147058824,0.2,0.2880658436,175,,28.8065843621,51.4705882353,20
jackhammer,0.592039801,0.4594594595,0.5173913043,259,,51.7391304348,59.2039800995,45.9459459459
siren,0.5353535354,0.7737226277,0.6328358209,137,,63.2835820896,53.5353535354,77.3722627737
street_music,0.25,0.3758865248,0.3002832861,141,,30.0283286119,25,37.5886524823
accuracy,0.4247281053,0.4247281053,0.4247281053,0.4247281053,,,,
macro avg,0.4238022617,0.4399253533,0.4136062399,1747,,,,
weighted avg,0.4529239534,0.4247281053,0.4227174109,1747,,,,
