,precision,recall,f1-score,support,,,,
absence,0.9517847629,0.8844059406,0.9168591224,4040,,91.6859122402,95.178476292,88.4405940594
cooking,0.9612778316,0.9315196998,0.9461648404,1066,,94.61648404,96.1277831559,93.1519699812
dishwashing,0.6398601399,0.7261904762,0.6802973978,252,,68.029739777,63.986013986,72.619047619
eating,0.6538461538,0.85,0.7391304348,360,,73.9130434783,65.3846153846,85
other,0.3623529412,0.77,0.4928,200,,49.28,36.2352941176,77
social_activity,0.9118257261,0.9431330472,0.9272151899,932,,92.7215189873,91.1825726141,94.313304721
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9967750605,0.998116254,0.9974452064,3716,,99.74452064,99.6775060468,99.8116254037
working,0.8974632844,0.8775456919,0.8873927393,3830,,88.7392739274,89.7463284379,87.7545691906
accuracy,0.9151880523,0.9151880523,0.9151880523,0.9151880523,,,,
macro avg,0.8194651,0.8867679011,0.8430338812,14597,,,,
weighted avg,0.9269818901,0.9151880523,0.9193114757,14597,,,,
