,precision,recall,f1-score,support,,,,
absence,0.9592434736,0.8876016761,0.9220330303,4057,,92.2033030342,95.9243473628,88.7601676115
cooking,0.9593417231,0.9393364929,0.9492337165,1055,,94.9233716475,95.9341723136,93.9336492891
dishwashing,0.6433566434,0.769874477,0.700952381,239,,70.0952380952,64.3356643357,76.9874476987
eating,0.6752136752,0.8826815642,0.7651331719,358,,76.5133171913,67.5213675214,88.2681564246
other,0.4023529412,0.7737556561,0.5294117647,221,,52.9411764706,40.2352941176,77.3755656109
social_activity,0.9211618257,0.9487179487,0.9347368421,936,,93.4736842105,92.1161825726,94.8717948718
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9970438054,0.998654105,0.9978483055,3715,,99.7848305541,99.7043805429,99.865410498
working,0.9028037383,0.8862385321,0.8944444444,3815,,89.4444444444,90.2803738318,88.623853211
accuracy,0.9209426595,0.9209426595,0.9209426595,0.9209426595,,,,
macro avg,0.8289464251,0.8985400502,0.8548659618,14597,,,,
weighted avg,0.9316699659,0.9209426595,0.9245598797,14597,,,,
