,precision,recall,f1-score,support,,,,
air_conditioner,0.9458128079,0.9365853659,0.9411764706,205,,94.1176470588,94.5812807882,93.6585365854
car_horn,0.6344086022,0.9365079365,0.7564102564,63,,75.641025641,63.4408602151,93.6507936508
children_playing,0.8516746411,0.7841409692,0.8165137615,227,,81.6513761468,85.1674641148,78.4140969163
dog_bark,0.8043478261,0.8131868132,0.8087431694,182,,80.8743169399,80.4347826087,81.3186813187
drilling,0.9,0.8901098901,0.8950276243,182,,89.5027624309,90,89.010989011
engine_idling,0.959798995,0.9362745098,0.9478908189,204,,94.7890818859,95.9798994975,93.6274509804
gun_shot,0.7058823529,0.9056603774,0.7933884298,53,,79.3388429752,70.5882352941,90.5660377358
jackhammer,0.9800995025,0.9078341014,0.9425837321,217,,94.2583732057,98.0099502488,90.7834101382
siren,0.9191919192,0.9430051813,0.9309462916,193,,93.094629156,91.9191919192,94.3005181347
street_music,0.8396226415,0.8054298643,0.8221709007,221,,82.2170900693,83.9622641509,80.5429864253
accuracy,0.8786491128,0.8786491128,0.8786491128,0.8786491128,,,,
macro avg,0.8540839288,0.8858735009,0.8654851455,1747,,,,
weighted avg,0.885079457,0.8786491128,0.8800013268,1747,,,,
