,precision,recall,f1-score,support,,,,
air_conditioner,0.9655172414,0.956097561,0.9607843137,205,,96.0784313725,96.5517241379,95.6097560976
car_horn,0.7204301075,1,0.8375,67,,83.75,72.0430107527,100
children_playing,0.8803827751,0.8288288288,0.8538283063,222,,85.3828306265,88.038277512,82.8828828829
dog_bark,0.8586956522,0.8586956522,0.8586956522,184,,85.8695652174,85.8695652174,85.8695652174
drilling,0.9277777778,0.9175824176,0.9226519337,182,,92.2651933702,92.7777777778,91.7582417582
engine_idling,0.9648241206,0.96,0.962406015,200,,96.2406015038,96.4824120603,96
gun_shot,0.7205882353,0.9423076923,0.8166666667,52,,81.6666666667,72.0588235294,94.2307692308
jackhammer,0.9800995025,0.9563106796,0.9680589681,206,,96.8058968059,98.0099502488,95.6310679612
siren,0.9393939394,0.9489795918,0.9441624365,196,,94.4162436548,93.9393939394,94.8979591837
street_music,0.9056603774,0.8240343348,0.8629213483,233,,86.2921348315,90.5660377358,82.4034334764
accuracy,0.9089868346,0.9089868346,0.9089868346,0.9089868346,,,,
macro avg,0.8863369729,0.9192836758,0.898767564,1747,,,,
weighted avg,0.9135525891,0.9089868346,0.9095766165,1747,,,,
