,precision,recall,f1-score,support,,,,
absence,0.9496537027,0.829648592,0.8856042728,4297,,88.5604272761,94.9653702717,82.9648592041
cooking,0.9574056147,0.9546332046,0.9560173997,1036,,95.601739971,95.7405614714,95.4633204633
dishwashing,0.6888111888,0.7086330935,0.6985815603,278,,69.8581560284,68.8811188811,70.8633093525
eating,0.6431623932,0.8852941176,0.745049505,340,,74.504950495,64.3162393162,88.5294117647
other,0.3388235294,0.7128712871,0.4593301435,202,,45.9330143541,33.8823529412,71.2871287129
social_activity,0.9118257261,0.968061674,0.9391025641,908,,93.9102564103,91.1825726141,96.8061674009
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9981187853,0.999730821,0.9989241528,3715,,99.892415277,99.8118785273,99.9730820996
working,0.8373831776,0.8662983425,0.8515953836,3620,,85.1595383571,83.738317757,86.6298342541
accuracy,0.8992258683,0.8992258683,0.8992258683,0.8992258683,,,,
macro avg,0.8139093464,0.8805745703,0.8371338869,14597,,,,
weighted avg,0.9124763584,0.8992258683,0.9031764352,14597,,,,
