,precision,recall,f1-score,support,,,,
absence,0.9589770911,0.8884501481,0.9223674097,4052,,92.2367409685,95.8977091103,88.8450148075
cooking,0.968054211,0.9832841691,0.9756097561,1017,,97.5609756098,96.8054211036,98.3284169125
dishwashing,0.7902097902,0.787456446,0.7888307155,287,,78.8830715532,79.020979021,78.7456445993
eating,0.8034188034,0.893111639,0.8458942632,421,,84.5894263217,80.3418803419,89.3111638955
other,0.4588235294,0.7831325301,0.5786350148,249,,57.8635014837,45.8823529412,78.313253012
social_activity,0.9502074689,0.9796791444,0.9647182728,935,,96.4718272775,95.020746888,97.9679144385
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9986562752,0.9994620764,0.9990590133,3718,,99.9059013308,99.8656275195,99.9462076385
working,0.9001335113,0.9069141781,0.903511123,3717,,90.3511123023,90.0133511348,90.6914178101
accuracy,0.9317668014,0.9317668014,0.9317668014,0.9317668014,,,,
macro avg,0.8698311867,0.9134989257,0.8865139521,14597,,,,
weighted avg,0.938398792,0.9317668014,0.9338965353,14597,,,,
