,precision,recall,f1-score,support,,,,
air_conditioner,0.8965517241,0.8235294118,0.858490566,221,,85.8490566038,89.6551724138,82.3529411765
car_horn,0.6559139785,0.8970588235,0.7577639752,68,,75.7763975155,65.5913978495,89.7058823529
children_playing,0.6985645933,0.7448979592,0.7209876543,196,,72.0987654321,69.8564593301,74.4897959184
dog_bark,0.7445652174,0.7740112994,0.7590027701,177,,75.9002770083,74.4565217391,77.4011299435
drilling,0.9111111111,0.8324873096,0.8700265252,197,,87.0026525199,91.1111111111,83.2487309645
engine_idling,0.8944723618,0.8811881188,0.8877805486,202,,88.7780548628,89.4472361809,88.1188118812
gun_shot,0.7205882353,0.8166666667,0.765625,60,,76.5625,72.0588235294,81.6666666667
jackhammer,0.9800995025,0.9162790698,0.9471153846,215,,94.7115384615,98.0099502488,91.6279069767
siren,0.8484848485,0.9081081081,0.8772845953,185,,87.72845953,84.8484848485,90.8108108108
street_music,0.7830188679,0.7345132743,0.7579908676,226,,75.799086758,78.3018867925,73.4513274336
accuracy,0.8288494562,0.8288494562,0.8288494562,0.8288494562,,,,
macro avg,0.813337044,0.8328740041,0.8202067887,1747,,,,
weighted avg,0.8354365996,0.8288494562,0.8304574849,1747,,,,
