,precision,recall,f1-score,support,,,,
air_conditioner,0.9802955665,0.9754901961,0.9778869779,204,,97.7886977887,98.0295566502,97.5490196078
car_horn,0.8172043011,0.95,0.8786127168,80,,87.8612716763,81.7204301075,95
children_playing,0.9186602871,0.8971962617,0.9078014184,214,,90.780141844,91.8660287081,89.7196261682
dog_bark,0.8967391304,0.8776595745,0.8870967742,188,,88.7096774194,89.6739130435,87.7659574468
drilling,0.9722222222,0.9459459459,0.9589041096,185,,95.8904109589,97.2222222222,94.5945945946
engine_idling,0.9849246231,0.9949238579,0.9898989899,197,,98.9898989899,98.4924623116,99.4923857868
gun_shot,0.8823529412,0.8823529412,0.8823529412,68,,88.2352941176,88.2352941176,88.2352941176
jackhammer,0.9850746269,0.9753694581,0.9801980198,203,,98.0198019802,98.5074626866,97.5369458128
siren,0.9646464646,0.9646464646,0.9646464646,198,,96.4646464646,96.4646464646,96.4646464646
street_music,0.9150943396,0.9238095238,0.9194312796,210,,91.9431279621,91.5094339623,92.380952381
accuracy,0.9421866056,0.9421866056,0.9421866056,0.9421866056,,,,
macro avg,0.9317214503,0.9387394224,0.9346829692,1747,,,,
weighted avg,0.943084213,0.9421866056,0.9423524819,1747,,,,
