,precision,recall,f1-score,support,,,,
absence,0.952317528,0.9002770083,0.925566343,3971,,92.5566343042,95.231752797,90.027700831
cooking,0.9593417231,0.9519692603,0.9556412729,1041,,95.5641272903,95.9341723136,95.1969260327
dishwashing,0.6713286713,0.7164179104,0.6931407942,268,,69.3140794224,67.1328671329,71.6417910448
eating,0.7478632479,0.8706467662,0.8045977011,402,,80.4597701149,74.7863247863,87.0646766169
other,0.4141176471,0.6901960784,0.5176470588,255,,51.7647058824,41.4117647059,69.0196078431
social_activity,0.9273858921,0.9592274678,0.9430379747,932,,94.3037974684,92.7385892116,95.9227467811
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9983875302,0.9983875302,0.9983875302,3721,,99.8387530234,99.8387530234,99.8387530234
working,0.9060080107,0.8914871256,0.8986889154,3806,,89.8688915375,90.6008010681,89.1487125591
accuracy,0.9239569775,0.9239569775,0.9239569775,0.9239569775,,,,
macro avg,0.8418611389,0.8865121275,0.8596341767,14597,,,,
weighted avg,0.9313608883,0.9239569775,0.9266820529,14597,,,,
