,precision,recall,f1-score,support,,,,
absence,0.9507192328,0.89225,0.9205571318,4000,,92.0557131803,95.0719232818,89.225
cooking,0.9574056147,0.9555555556,0.9564796905,1035,,95.6479690522,95.7405614714,95.5555555556
dishwashing,0.7027972028,0.7701149425,0.7349177331,261,,73.491773309,70.2797202797,77.0114942529
eating,0.7371794872,0.8625,0.7949308756,400,,79.4930875576,73.7179487179,86.25
other,0.4258823529,0.7327935223,0.5386904762,247,,53.869047619,42.5882352941,73.2793522267
social_activity,0.9346473029,0.9554612937,0.9449396959,943,,94.4939695857,93.4647302905,95.5461293743
vacuum_cleaner,1,1,1,201,,100,100,100
watching_tv,0.9983875302,0.998655914,0.9985217041,3720,,99.8521704072,99.8387530234,99.8655913978
working,0.8998664887,0.889182058,0.8944923689,3790,,89.4492368945,89.9866488652,88.9182058047
accuracy,0.922929369,0.922929369,0.922929369,0.922929369,,,,
macro avg,0.845209468,0.8951681429,0.8648366307,14597,,,,
weighted avg,0.930612767,0.922929369,0.9256513245,14597,,,,
