,precision,recall,f1-score,support,,,,
air_conditioner,0.9310344828,0.945,0.9379652605,200,,93.7965260546,93.1034482759,94.5
car_horn,0.688172043,0.9142857143,0.7852760736,70,,78.527607362,68.8172043011,91.4285714286
children_playing,0.8564593301,0.802690583,0.8287037037,223,,82.8703703704,85.6459330144,80.269058296
dog_bark,0.8315217391,0.8181818182,0.8247978437,187,,82.4797843666,83.152173913,81.8181818182
drilling,0.9333333333,0.875,0.9032258065,192,,90.3225806452,93.3333333333,87.5
engine_idling,0.9497487437,0.9497487437,0.9497487437,199,,94.9748743719,94.9748743719,94.9748743719
gun_shot,0.7352941176,0.8771929825,0.8,57,,80,73.5294117647,87.7192982456
jackhammer,0.9751243781,0.9289099526,0.9514563107,211,,95.145631068,97.5124378109,92.8909952607
siren,0.8787878788,0.90625,0.8923076923,192,,89.2307692308,87.8787878788,90.625
street_music,0.8349056604,0.8194444444,0.8271028037,216,,82.7102803738,83.4905660377,81.9444444444
accuracy,0.8809387521,0.8809387521,0.8809387521,0.8809387521,,,,
macro avg,0.8614381707,0.8836704239,0.8700584238,1747,,,,
weighted avg,0.8848276126,0.8809387521,0.8817140348,1747,,,,
