,precision,recall,f1-score,support,,,,
air_conditioner,0.9458128079,0.932038835,0.9388753056,206,,93.8875305623,94.5812807882,93.2038834951
car_horn,0.7096774194,0.9166666667,0.8,72,,80,70.9677419355,91.6666666667
children_playing,0.8373205742,0.7847533632,0.8101851852,223,,81.0185185185,83.7320574163,78.4753363229
dog_bark,0.8206521739,0.8162162162,0.8184281843,185,,81.8428184282,82.0652173913,81.6216216216
drilling,0.8944444444,0.8846153846,0.8895027624,182,,88.9502762431,89.4444444444,88.4615384615
engine_idling,0.959798995,0.959798995,0.959798995,199,,95.9798994975,95.9798994975,95.9798994975
gun_shot,0.7647058824,0.8965517241,0.8253968254,58,,82.5396825397,76.4705882353,89.6551724138
jackhammer,0.9701492537,0.8986175115,0.9330143541,217,,93.3014354067,97.0149253731,89.8617511521
siren,0.8737373737,0.9105263158,0.8917525773,190,,89.175257732,87.3737373737,91.0526315789
street_music,0.8443396226,0.8325581395,0.8384074941,215,,83.8407494145,84.4339622642,83.2558139535
accuracy,0.8786491128,0.8786491128,0.8786491128,0.8786491128,,,,
macro avg,0.8620638547,0.8832343152,0.8705361683,1747,,,,
weighted avg,0.8819030858,0.8786491128,0.8792249901,1747,,,,
